Siglas	Votos	Diputados	Candidatura
censo	3617948	32	
participacion	2456966		
abstencion	1160982		
nulos	13323		
blancos	14241		
PSC-PSOE	903546	14	PARTIT DELS SOCIALISTES DE CATALUNYA
CIU	741682	11	CONVERGENCIA I UNIO
PP	257021	3	PARTIDO POPULAR
IC	200050	3	INICIATIVA PER CATALUNYA
CDS.	110681	1	CENTRE DEMOCRATIC I SOCIAL
ERC	60642	0	ESQUERRA REPUBLICANA DE CATALUNYA
RUIZ-MATEOS	29187	0	AGRUPACION RUIZ-MATEOS
PCC	27746	0	PARTIT DELS COMUNISTES DE CATALUNYA
EVE	19573	0	ELS VERDS ECOLOGISTES
AV-MEC	18518	0	ALTERNATIVA VERDA-MOVIMENT ECOLOG. DE CATALUNYA
EV-LV	18089	0	ELS VERDS-LLISTA VERDA
PTE-UC	10782	0	PARTIDO TRABAJADORES DE ESPAÑA-UNIDAD COMUNISTA
PST	9270	0	PARTIDO SOCIALISTA DE LOS TRABAJADORES
PEC-VERDE	8110	0	PARTIT ECOLOGISTA DE CATALUNYA-VERDE
CSD.	4996	0	COALICIO SOCIALDEMOCRATA
PORE.	2276	0	PARTIT DELS OBRERS REVOLUCIONARIS D'ESPANYA
PHC	2223	0	PARTIT HUMANISTA DE CATALUNYA
FE-JONS	2087	0	FALANGE ESPAÑOLA DE LAS J.O.N.S.
PED	1200	0	UNIDAD CENTRISTA-P.E.D.
AR	1127	0	ALIANZA POR LA REPUBLICA
ENV-URV	596	0	ESQUERRA NACIONALISTA VALENCIANA - URV
PCE-(M.L.)	0	0	PARTIDO COMUNISTA DE ESPAÑA (MARXISTA-LENINISTA)
