Siglas	Votos	Diputados	Candidatura
censo	4027724	31	Hipotesis: Cada partido con reprersentacion saca su peor resultado, es decir, solo votan los que han votado a cada partido en su peor momento. El voto de ultra derecha se concentra en PxC. La mitad del resto se abtiene y la otra se reparte.
participacion	3115086		
abstencion	912638		65189
nulos			
blancos			
PSC-PSOE	909601		PARTIT DELS SOCIALISTES DE CATALUNYA
CiU	547993		CONVERGÈNCIA I UNIÓ
PP	470677		PARTIT POPULAR
ICV-EUiA	155674		INICIATIVA PER CATALUNYA VERDS - ESQUERRA UNIDA I ALTERNATIVA: L'ESQUERRA PLURAL
ERC-RI.cat	114195		ESQUERRA REPLUBLICANA DE CATALUNYA - CATALUNYA SÍ
PACMA	65189		PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL
UPyD	65189		UNION PROGRESO Y DEMOCRÁCIA
PCPC	65189		PARTIT COMUNISTA DEL POBLE DE CATALUNYA
PIRATA.CAT	65189		PIRATES DE CATALUNYA
ANTICAPITALISTES	65189		ANTICAPITALISTES
Eb	65189		ESCONS EN BLANC
UCE	65189		UNIFICACION COMUNISTA DE ESPAÑA
PFyV	65189		FAMILIA Y VIDA
PRE-R	65189		PARTIT REPUBLICÀ D'ESQUERRA - REPUBLICANS
PxC	4300		PLATAFORMA PER CATALUNYA
POSI	65189		PARTIT OBRER SOCIALISTA INTERNACIONALISTA
PH	65189		PARTIT HUMANISTA
PATO	65189		PARTIDO ABRE TUS OJOS
LV-GV	65189		LOS VERDES - GRUPO VERDE
HARTOS.ORG	65189		HARTOS.ORG
