Siglas	Votos	Diputados	Candidatura
censo	4027724	31	Cis Abstencio 10%
participacion	3592300		
abstencion	435424		
nulos			
blancos			
PSC-PSOE	1200000		PARTIT DELS SOCIALISTES DE CATALUNYA
CiU	800000		CONVERGÈNCIA I UNIÓ
PP	900000		PARTIT POPULAR
ICV-EUiA	350000		INICIATIVA PER CATALUNYA VERDS - ESQUERRA UNIDA I ALTERNATIVA: L'ESQUERRA PLURAL
ERC-RI.cat	250000		ESQUERRA REPLUBLICANA DE CATALUNYA - CATALUNYA SÍ
PACMA	11600		PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL
UPyD	30000		UNION PROGRESO Y DEMOCRÁCIA
PIRATA.CAT	11600		PIRATES DE CATALUNYA
ANTICAPITALISTES	11600		ANTICAPITALISTES
Eb	11600		ESCONS EN BLANC
UCE	11600		UNIFICACION COMUNISTA DE ESPAÑA
PxC	4300		PLATAFORMA PER CATALUNYA
