Siglas	Votos	Diputados	Candidatura
censo	4027724	31	Hipotesis: Cada partido con reprersentacion saca su peor resultado, es decir, solo votan los que han votado a cada partido en su peor momento. El voto de ultra derecha se concentra en PxC. El resto se abstiene.
participacion	2246593		
abstencion	1781131		
nulos			
blancos			
PSC-PSOE	909601		PARTIT DELS SOCIALISTES DE CATALUNYA
CiU	547993		CONVERGÈNCIA I UNIÓ
PP	470677		PARTIT POPULAR
ICV-EUiA	155674		INICIATIVA PER CATALUNYA VERDS - ESQUERRA UNIDA I ALTERNATIVA: L'ESQUERRA PLURAL
ERC-RI.cat	114195		ESQUERRA REPLUBLICANA DE CATALUNYA - CATALUNYA SÍ
PACMA	8153		PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL
UPyD	30000		UNION PROGRESO Y DEMOCRÁCIA
PIRATA.CAT			PIRATES DE CATALUNYA
ANTICAPITALISTES			ANTICAPITALISTES
Eb	6000		ESCONS EN BLANC
UCE			UNIFICACION COMUNISTA DE ESPAÑA
PxC	4300		PLATAFORMA PER CATALUNYA
