Siglas	Votos	Diputados	Candidatura
censo	4027724	31	Hipotesis: Cada partido con reprersentacion saca su peor resultado, es decir, solo votan los que han votado a cada partido en su peor momento. El voto de ultra derecha se concentra en PxC. La mitad del resto se abtiene y la otra se reparte.
participacion	3145082		
abstencion	882642		152107
nulos			
blancos			
PSC-PSOE	909601		PARTIT DELS SOCIALISTES DE CATALUNYA
CiU	547993		CONVERGÈNCIA I UNIÓ
PP	470677		PARTIT POPULAR
ICV-EUiA	155674		INICIATIVA PER CATALUNYA VERDS - ESQUERRA UNIDA I ALTERNATIVA: L'ESQUERRA PLURAL
ERC-RI.cat	114195		ESQUERRA REPLUBLICANA DE CATALUNYA - CATALUNYA SÍ
PACMA	152107		PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL
UPyD	182107		UNION PROGRESO Y DEMOCRÁCIA
PIRATA.CAT	152107		PIRATES DE CATALUNYA
ANTICAPITALISTES	152107		ANTICAPITALISTES
Eb	152107		ESCONS EN BLANC
UCE	152107		UNIFICACION COMUNISTA DE ESPAÑA
PxC	4300		PLATAFORMA PER CATALUNYA
