Siglas	Votos	Diputados	Candidatura
censo	4027724	31	Hipotesis: Cada partido con reprersentacion saca su peor resultado, es decir, solo votan los que han votado a cada partido en su peor momento. El voto de ultra derecha se concentra en PxC. La mitad se reparte a la mitad de extra parlamentarios
participacion	3115079		
abstencion	912645		130377
nulos			
blancos			
PSC-PSOE	909601		PARTIT DELS SOCIALISTES DE CATALUNYA
CiU	547993		CONVERGÈNCIA I UNIÓ
PP	470677		PARTIT POPULAR
ICV-EUiA	155674		INICIATIVA PER CATALUNYA VERDS - ESQUERRA UNIDA I ALTERNATIVA: L'ESQUERRA PLURAL
ERC-RI.cat	114195		ESQUERRA REPLUBLICANA DE CATALUNYA - CATALUNYA SÍ
PACMA	130377		PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL
UPyD	130377		UNION PROGRESO Y DEMOCRÁCIA
PCPC	130377		PARTIT COMUNISTA DEL POBLE DE CATALUNYA
PIRATA.CAT	130377		PIRATES DE CATALUNYA
ANTICAPITALISTES	130377		ANTICAPITALISTES
Eb	130377		ESCONS EN BLANC
UCE	130377		UNIFICACION COMUNISTA DE ESPAÑA
PFyV			FAMILIA Y VIDA
PRE-R			PARTIT REPUBLICÀ D'ESQUERRA - REPUBLICANS
PxC	4300		PLATAFORMA PER CATALUNYA
POSI			PARTIT OBRER SOCIALISTA INTERNACIONALISTA
PH			PARTIT HUMANISTA
PATO			PARTIDO ABRE TUS OJOS
LV-GV			LOS VERDES - GRUPO VERDE
HARTOS.ORG			HARTOS.ORG
