Siglas	Votos	Diputados	Candidatura
censo	4027724	31	Estudio del efecto de la proporcionalidad de la ley de Hondt
participacion	310000		
abstencion	3717724		
nulos			
blancos			
PSC-PSOE	100000		PARTIT DELS SOCIALISTES DE CATALUNYA
CiU	100000		CONVERGÈNCIA I UNIÓ
PP	100000		PARTIT POPULAR
ICV-EUiA	10000		INICIATIVA PER CATALUNYA VERDS - ESQUERRA UNIDA I ALTERNATIVA: L'ESQUERRA PLURAL
ERC-RI.cat			ESQUERRA REPLUBLICANA DE CATALUNYA - CATALUNYA SÍ
PACMA			PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL
UPyD			UNION PROGRESO Y DEMOCRÁCIA
PCPC			PARTIT COMUNISTA DEL POBLE DE CATALUNYA
PIRATA.CAT			PIRATES DE CATALUNYA
ANTICAPITALISTES			ANTICAPITALISTES
Eb			ESCONS EN BLANC
UCE			UNIFICACION COMUNISTA DE ESPAÑA
PFyV			FAMILIA Y VIDA
PRE-R			PARTIT REPUBLICÀ D'ESQUERRA - REPUBLICANS
PxC			PLATAFORMA PER CATALUNYA
POSI			PARTIT OBRER SOCIALISTA INTERNACIONALISTA
PH			PARTIT HUMANISTA
PATO			PARTIDO ABRE TUS OJOS
LV-GV			LOS VERDES - GRUPO VERDE
HARTOS.ORG			HARTOS.ORG
