Siglas	Votos	Diputados	Candidatura
censo	4028117	31	Resultados oficiales 2011-11
participacion	2654927		
abstencion	1373190		
nulos	39462		
blancos	46738		
PSC-PSOE	727220	10	PARTIT DELS SOCIALISTES DE CATALUNYA
CiU	710178	9	CONVERGÈNCIA I UNIÓ
PP	547376	7	PARTIT POPULAR
ICV-EUiA	237327	3	INICIATIVA PER CATALUNYA VERDS - ESQUERRA UNIDA I ALTERNATIVA: L'ESQUERRA PLURAL
ERC-RI.cat	169601	2	ESQUERRA REPLUBLICANA DE CATALUNYA - CATALUNYA SÍ
PxC	53142	0	PLATAFORMA PER CATALUNYA
Eb	40054	0	ESCONS EN BLANC
UPyD	33111	0	UNION PROGRESO Y DEMOCRÁCIA
PACMA	18638	0	PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL
PIRATA.CAT	17393	0	PIRATES DE CATALUNYA
ANTICAPITALISTES	11346	0	ANTICAPITALISTES
UCE	3341	0	UNIFICACION COMUNISTA DE ESPAÑA
