Siglas	Votos	Diputados	Candidatura
censo	3444779	85	
participacion	2104767		
abstencion	1340012		
nulos	10086		
blancos	14399		
CiU        	570670	26	Convergència i Unió                               
PSC-PSOE   	485324	22	Partit dels Socialistes de Catalunya-PSOE         
PSUC       	435887	20	Partit Socialista Unificat de Catalunya           
ERC        	173815	8	Esquerra Republicana de Catalunya                 
CC-UCD     	171122	7	Centristes de Catalunya-UCD                       
PSA        	63442	2	Partido Socialista de Andalucía-Partido Andaluz   
SC         	53967	0	Solidaritat Catalana                              
NE         	32324	0	Nacionalistes d'Esquerra                          
CUPS       	28499	0	Unitat Popular del Socialisme C.U.P.S.            
FN         	20074	0	Fuerza Nueva                                      
P.C.O.de C.	12963	0	Partit Comunista Obrer de Catalunya               
BEAN-UP    	11620	0	Bloc d'Esquerra d'Alliberament Nacional de Catalun
FE-JONS    	6029	0	Falange Española de las J.O.N.S.                  
PCT-PCC    	5710	0	Unidad Comunista                                  
PNI        	4741	0	Partido Nacional Independiente                    
C.i.C.     	4095	0	Conservadors de Catalunya                         
