Siglas	Votos	Diputados	Candidatura
censo	3916104	85	Encuesta del Pais 17N suponiendo 40% abstencion y Otros+blanco como blancos
participacion	2350000		
abstencion	1566104		
nulos	0		
blancos	166850		
CiU	834250		Convergència i Unió                               
PSC-PSOE	298450		Partit dels Socialistes de Catalunya 
P.P.	324300		Partit Popular                                    
ICV-EUiA	197400		Iniciativa per Catalunya Verds-Esquerra Unida i Alternativa 
ERC-CAT SI	279650		Esquerra Republicana de Catalunya-Catalunya Si 
C's	143350		Ciutadans-Partido de la Ciudadanía                
SI	32900		Solidaritat Catalana per la Independència
PxC	0		Plataforma per Catalunya                          
Eb-CenB	0		Escons en blanc-Ciudadanos en Blanco
PACMA	0		Partit Antitaurí Contra el Maltractament Animal
PIRATA.CAT	0		Pirates de Catalunya
UPyD	0		Unión, Progreso y Democracia
U.C.E.	0		Unificació Comunista d'Espanya                    
vD	0		Via Democrática 
FARTS.cat	0		Hartos.org i Ciutadans en Blanc 
CUP-AE	72850		Candidatura d'Unitat Popular - Alternativa d'Esquerres 
