Siglas	Votos	Diputados	Candidatura
censo	3916104	85	mismos votos que en 2010: reagrupament->erc, cori,posi>farts, msr,gn,falange,gn->PxC,vD verds->pacma desdabaix,pum+j->cup
participacion	2861679		
abstencion	1054425		
nulos	14857		
blancos	68241		
CiU	862010		Convergència i Unió                               
PSC-PSOE	449549		Partit dels Socialistes de Catalunya 
P.P.	301440		Partit Popular                                    
ICV-EUiA	193545		Iniciativa per Catalunya Verds-Esquerra Unida i Alternativa 
ERC-CAT SI	160973		Esquerra Republicana de Catalunya-Catalunya Si 
C's	89990		Ciutadans-Partido de la Ciudadanía                
SI	72693		Solidaritat Catalana per la Independència
PxC	72381		Plataforma per Catalunya                          
Eb-CenB	72000		Escons en blanc-Ciudadanos en Blanco
PACMA	72000		Partit Antitaurí Contra el Maltractament Animal
PIRATA.CAT	72000		Pirates de Catalunya
UPyD	72000		Unión, Progreso y Democracia
U.C.E.	72000		Unificació Comunista d'Espanya                    
vD	72000		Via Democrática 
FARTS.cat	72000		Hartos.org i Ciutadans en Blanc 
CUP-AE	72000		Candidatura d'Unitat Popular - Alternativa d'Esquerres 
