participacion	2572428	63.78	31
abstenciones	1460589	36.22	-
blancos	36486	1.42	-
nulos	10920	0.42	-
PSOE	909601	35.51	12
CiU	673558	26.30	9
PP	602777	23.53	8
ESQUERRA	131114	5.12	1
ICV-EUiA	-	-	-
C's	-	-	-
EV-AE	-	-	-
PACMA	-	-	-
EV-LV	-	-	-
UPyD	-	-	-
RC	-	-	-
Ei	-	-	-
PCPC	-	-	-
PDLPEA	-	-	-
CENB	-	-	-
PUM+J	-	-	-
P.O.S.I.	-	-	-
IR	1275	0.05	-
DN	-	-	-
PFiV	-	-	-
FE de las JONS	-	-	-
A.M.D.	-	-	-
PxCat	-	-	-
PH	1333	0.05	-
FA	-	-	-
PLCI	-	-	-
E-2000	-	-	-
AES	-	-	-
AN	-	-	-
L.I.(LIT-CI)	-	-	-
PCaC	-	-	-
SAIN	-	-	-
POSI	3501	0.14	-
CDS	1450	0.06	-
FE	826	0.03	-
PNCA	861	0.03	-
MSR	-	-	-
PADE	430	0.02	-
N	710	0.03	-
FDE	-	-	-
LI (LIT-CI)	518	0.02	-
IC-V	103778	4.05	1
IU	64111	2.50	-
LV-GV	14922	0.58	-
EV-AV	7685	0.30	-
GIL	2547	0.10	-
EC	1538	0.06	-
PLN	1048	0.04	-
FEI-FE 2000	826	0.03	-
ES2000	613	0.02	-
