ELECCIO;ANY;NIVELL;AUTONOMIA;CODI PROVÍNCIA;PROVÍNCIA;CODI COMARCA;COMARCA;CODI MUNICIPI;MUNICIPI;CODI DISTRICTE;DISTRICTE;SIGLES;PARTIT;VOTS PARTITS;% VOTS / VÀLIDS;ESCONS
A;1999;CA;Catalunya                ;;;;;;;;;CiU        ;Convergència i Unió                               ;1.178.420;37,70;56
A;1999;CA;Catalunya                ;;;;;;;;;PSC-CpC    ;PSC-Ciutadans pel Canvi                           ;948.202;30,33;36
A;1999;CA;Catalunya                ;;;;;;;;;PP         ;Partit Popular                                    ;297.265;9,51;12
A;1999;CA;Catalunya                ;;;;;;;;;ERC        ;Esquerra Republicana de Catalunya                 ;271.173;8,67;12
A;1999;CA;Catalunya                ;;;;;;;;;PSC-CC-IC-V;PSC-Ciutadans pel Canvi-IC-Verds                  ;235.097;7,52;16
A;1999;CA;Catalunya                ;;;;;;;;;IC-V       ;Iniciativa per Catalunya-Verds                    ;78.441;2,51;3
A;1999;CA;Catalunya                ;;;;;;;;;EUiA       ;Esquerra Unida i Alternativa                      ;44.454;1,42;0
A;1999;CA;Catalunya                ;;;;;;;;;EV-CEC     ;Els Verds-Confederació Ecologista de Catalunya    ;22.797;0,73;0
A;1999;CA;Catalunya                ;;;;;;;;;EV-AV      ;Els Verds-Alternativa Verda                       ;8.254;0,26;0
A;1999;CA;Catalunya                ;;;;;;;;;POSI       ;Partit Obrer Socialista Internacionalista         ;2.784;0,09;0
A;1999;CA;Catalunya                ;;;;;;;;;E.CAT      ;Estat Català                                      ;1.774;0,06;0
A;1999;CA;Catalunya                ;;;;;;;;;PH         ;Partit Humanista de Catalunya                     ;1.327;0,04;0
A;1999;CA;Catalunya                ;;;;;;;;;FE-JONS    ;Falange Española de las J.O.N.S.                  ;1.281;0,04;0
A;1999;CA;Catalunya                ;;;;;;;;;UC-CDS     ;Unión Centrista-Centro Democrático y Social       ;1.161;0,04;0
A;1999;CA;Catalunya                ;;;;;;;;;PLN        ;Partit de la Llei Natural                         ;1.029;0,03;0
A;1999;CA;Catalunya                ;;;;;;;;;UNIC-FIC   ;Unió d'Independents Conca de Barberà-FIC          ;881;0,03;0
A;1999;CA;Catalunya                ;;;;;;;;;TPR        ;Trabajadores Públicos Rebotados                   ;833;0,03;0
A;1999;CA;Catalunya                ;;;;;;;;;PE         ;Partit Espinaltià                                 ;799;0,03;0
A;1999;CA;Catalunya                ;;;;;;;;;LI (LIT-CI);Lluita Internacionalista                          ;485;0,02;0
A;1999;CA;Catalunya                ;;;;;;;;;UFD        ;Unión Federal Democrática                         ;447;0,01;0
A;1999;CA;Catalunya                ;;;;;;;;;CAM        ;Catalans al Món                                   ;110;0,00;0
A;1999;CA;Catalunya                ;;;;;;;;;P.DE.P     ;Partido Democrático del Pueblo                    ;108;0,00;0
A;1999;CO;Catalunya                ;;;1;Alt Camp                      ;;;;;CiU        ;Convergència i Unió                               ;8.126;44,44;0
A;1999;CO;Catalunya                ;;;1;Alt Camp                      ;;;;;PSC-CC-IC-V;PSC-Ciutadans pel Canvi-IC-Verds                  ;5.452;29,82;0
A;1999;CO;Catalunya                ;;;1;Alt Camp                      ;;;;;ERC        ;Esquerra Republicana de Catalunya                 ;2.949;16,13;0
A;1999;CO;Catalunya                ;;;1;Alt Camp                      ;;;;;PP         ;Partit Popular                                    ;1.148;6,28;0
A;1999;CO;Catalunya                ;;;1;Alt Camp                      ;;;;;UNIC-FIC   ;Unió d'Independents Conca de Barberà-FIC          ;127;0,69;0
A;1999;CO;Catalunya                ;;;1;Alt Camp                      ;;;;;EV-CEC     ;Els Verds-Confederació Ecologista de Catalunya    ;104;0,57;0
A;1999;CO;Catalunya                ;;;1;Alt Camp                      ;;;;;EV-AV      ;Els Verds-Alternativa Verda                       ;72;0,39;0
A;1999;CO;Catalunya                ;;;1;Alt Camp                      ;;;;;EUiA       ;Esquerra Unida i Alternativa                      ;70;0,38;0
A;1999;CO;Catalunya                ;;;1;Alt Camp                      ;;;;;E.CAT      ;Estat Català                                      ;21;0,11;0
A;1999;CO;Catalunya                ;;;1;Alt Camp                      ;;;;;TPR        ;Trabajadores Públicos Rebotados                   ;20;0,11;0
A;1999;CO;Catalunya                ;;;1;Alt Camp                      ;;;;;PE         ;Partit Espinaltià                                 ;14;0,08;0
A;1999;CO;Catalunya                ;;;1;Alt Camp                      ;;;;;PLN        ;Partit de la Llei Natural                         ;14;0,08;0
A;1999;CO;Catalunya                ;;;1;Alt Camp                      ;;;;;PH         ;Partit Humanista de Catalunya                     ;10;0,05;0
A;1999;CO;Catalunya                ;;;1;Alt Camp                      ;;;;;P.DE.P     ;Partido Democrático del Pueblo                    ;5;0,03;0
A;1999;CO;Catalunya                ;;;2;Alt Empordà                   ;;;;;CiU        ;Convergència i Unió                               ;22.315;47,37;0
A;1999;CO;Catalunya                ;;;2;Alt Empordà                   ;;;;;PSC-CC-IC-V;PSC-Ciutadans pel Canvi-IC-Verds                  ;14.494;30,77;0
A;1999;CO;Catalunya                ;;;2;Alt Empordà                   ;;;;;ERC        ;Esquerra Republicana de Catalunya                 ;5.119;10,87;0
A;1999;CO;Catalunya                ;;;2;Alt Empordà                   ;;;;;PP         ;Partit Popular                                    ;3.729;7,92;0
A;1999;CO;Catalunya                ;;;2;Alt Empordà                   ;;;;;EV-CEC     ;Els Verds-Confederació Ecologista de Catalunya    ;325;0,69;0
A;1999;CO;Catalunya                ;;;2;Alt Empordà                   ;;;;;EUiA       ;Esquerra Unida i Alternativa                      ;276;0,59;0
A;1999;CO;Catalunya                ;;;2;Alt Empordà                   ;;;;;EV-AV      ;Els Verds-Alternativa Verda                       ;216;0,46;0
A;1999;CO;Catalunya                ;;;2;Alt Empordà                   ;;;;;TPR        ;Trabajadores Públicos Rebotados                   ;63;0,13;0
A;1999;CO;Catalunya                ;;;2;Alt Empordà                   ;;;;;PLN        ;Partit de la Llei Natural                         ;35;0,07;0
A;1999;CO;Catalunya                ;;;2;Alt Empordà                   ;;;;;PE         ;Partit Espinaltià                                 ;27;0,06;0
A;1999;CO;Catalunya                ;;;2;Alt Empordà                   ;;;;;E.CAT      ;Estat Català                                      ;26;0,06;0
A;1999;CO;Catalunya                ;;;2;Alt Empordà                   ;;;;;PH         ;Partit Humanista de Catalunya                     ;24;0,05;0
A;1999;CO;Catalunya                ;;;2;Alt Empordà                   ;;;;;CAM        ;Catalans al Món                                   ;21;0,04;0
A;1999;CO;Catalunya                ;;;2;Alt Empordà                   ;;;;;LI (LIT-CI);Lluita Internacionalista                          ;18;0,04;0
A;1999;CO;Catalunya                ;;;3;Alt Penedès                   ;;;;;CiU        ;Convergència i Unió                               ;19.734;47,43;0
A;1999;CO;Catalunya                ;;;3;Alt Penedès                   ;;;;;PSC-CpC    ;PSC-Ciutadans pel Canvi                           ;13.251;31,85;0
A;1999;CO;Catalunya                ;;;3;Alt Penedès                   ;;;;;ERC        ;Esquerra Republicana de Catalunya                 ;4.474;10,75;0
A;1999;CO;Catalunya                ;;;3;Alt Penedès                   ;;;;;PP         ;Partit Popular                                    ;2.350;5,65;0
A;1999;CO;Catalunya                ;;;3;Alt Penedès                   ;;;;;IC-V       ;Iniciativa per Catalunya-Verds                    ;875;2,10;0
A;1999;CO;Catalunya                ;;;3;Alt Penedès                   ;;;;;EV-CEC     ;Els Verds-Confederació Ecologista de Catalunya    ;245;0,59;0
A;1999;CO;Catalunya                ;;;3;Alt Penedès                   ;;;;;EUiA       ;Esquerra Unida i Alternativa                      ;210;0,50;0
A;1999;CO;Catalunya                ;;;3;Alt Penedès                   ;;;;;EV-AV      ;Els Verds-Alternativa Verda                       ;77;0,19;0
A;1999;CO;Catalunya                ;;;3;Alt Penedès                   ;;;;;POSI       ;Partit Obrer Socialista Internacionalista         ;41;0,10;0
A;1999;CO;Catalunya                ;;;3;Alt Penedès                   ;;;;;FE-JONS    ;Falange Española de las J.O.N.S.                  ;24;0,06;0
A;1999;CO;Catalunya                ;;;3;Alt Penedès                   ;;;;;UC-CDS     ;Unión Centrista-Centro Democrático y Social       ;23;0,06;0
A;1999;CO;Catalunya                ;;;3;Alt Penedès                   ;;;;;E.CAT      ;Estat Català                                      ;18;0,04;0
A;1999;CO;Catalunya                ;;;3;Alt Penedès                   ;;;;;PH         ;Partit Humanista de Catalunya                     ;15;0,04;0
A;1999;CO;Catalunya                ;;;3;Alt Penedès                   ;;;;;PE         ;Partit Espinaltià                                 ;12;0,03;0
A;1999;CO;Catalunya                ;;;3;Alt Penedès                   ;;;;;PLN        ;Partit de la Llei Natural                         ;9;0,02;0
A;1999;CO;Catalunya                ;;;3;Alt Penedès                   ;;;;;LI (LIT-CI);Lluita Internacionalista                          ;3;0,01;0
A;1999;CO;Catalunya                ;;;3;Alt Penedès                   ;;;;;UFD        ;Unión Federal Democrática                         ;2;0,00;0
A;1999;CO;Catalunya                ;;;4;Alt Urgell                    ;;;;;CiU        ;Convergència i Unió                               ;4.861;49,88;0
A;1999;CO;Catalunya                ;;;4;Alt Urgell                    ;;;;;PSC-CC-IC-V;PSC-Ciutadans pel Canvi-IC-Verds                  ;2.395;24,58;0
A;1999;CO;Catalunya                ;;;4;Alt Urgell                    ;;;;;ERC        ;Esquerra Republicana de Catalunya                 ;1.683;17,27;0
A;1999;CO;Catalunya                ;;;4;Alt Urgell                    ;;;;;PP         ;Partit Popular                                    ;622;6,38;0
A;1999;CO;Catalunya                ;;;4;Alt Urgell                    ;;;;;EV-CEC     ;Els Verds-Confederació Ecologista de Catalunya    ;51;0,52;0
A;1999;CO;Catalunya                ;;;4;Alt Urgell                    ;;;;;EUiA       ;Esquerra Unida i Alternativa                      ;26;0,27;0
A;1999;CO;Catalunya                ;;;4;Alt Urgell                    ;;;;;EV-AV      ;Els Verds-Alternativa Verda                       ;20;0,21;0
