"ELECCIO";"ANY";"NIVELL";"AUTONOMIA";"CODI PROVÍNCIA";"PROVÍNCIA";"CODI COMARCA";"COMARCA";"CODI MUNICIPI";"MUNICIPI";"CODI DISTRICTE";"DISTRICTE";"CENS ELECTORAL";"VOTANTS";"% VOTANTS";"ABSTENCIÓ";"% ABSTENCIÓ";"VOTS NULS";"% VOTS NULS";"VOTS EN BLANC";"% VOTS EN BLANC";"VOTS A CANDIDATURES";"% VOTS A CANDIDATURES";"VOTS VÀLIDS";"% VOTS VÀLIDS"
"A";2003;"CA";"Catalunya                ";;"";;"";;"";"";"";5.307.837;3.319.276;62,54;1.988.561;37,46;8.793;0,26;30.212;0,91;3.280.271;98,82;3.310.483;99,74
"A";2003;"CO";"Catalunya                ";;"";1;"Alt Camp                      ";;"";"";"";30.011;19.689;65,61;10.322;34,39;73;0,37;160;0,81;19.456;98,82;19.616;99,63
"A";2003;"CO";"Catalunya                ";;"";2;"Alt Empordà                   ";;"";"";"";79.468;50.603;63,68;28.865;36,32;206;0,41;426;0,84;49.971;98,75;50.397;99,59
"A";2003;"CO";"Catalunya                ";;"";3;"Alt Penedès                   ";;"";"";"";67.921;46.814;68,92;21.107;31,08;139;0,30;290;0,62;46.385;99,08;46.675;99,70
"A";2003;"CO";"Catalunya                ";;"";4;"Alt Urgell                    ";;"";"";"";16.037;10.379;64,72;5.658;35,28;28;0,27;73;0,70;10.278;99,03;10.351;99,73
"A";2003;"CO";"Catalunya                ";;"";5;"Alta Ribagorça                ";;"";"";"";3.062;1.992;65,06;1.070;34,94;5;0,25;19;0,95;1.968;98,80;1.987;99,75
"A";2003;"CO";"Catalunya                ";;"";6;"Anoia                         ";;"";"";"";79.053;50.362;63,71;28.691;36,29;149;0,30;386;0,77;49.827;98,94;50.213;99,70
"A";2003;"CO";"Catalunya                ";;"";7;"Bages                         ";;"";"";"";131.265;87.228;66,45;44.037;33,55;227;0,26;701;0,80;86.300;98,94;87.001;99,74
"A";2003;"CO";"Catalunya                ";;"";8;"Baix Camp                     ";;"";"";"";119.078;70.508;59,21;48.570;40,79;241;0,34;620;0,88;69.647;98,78;70.267;99,66
"A";2003;"CO";"Catalunya                ";;"";9;"Baix Ebre                     ";;"";"";"";54.882;35.333;64,38;19.549;35,62;227;0,64;528;1,49;34.578;97,86;35.106;99,36
"A";2003;"CO";"Catalunya                ";;"";10;"Baix Empordà                  ";;"";"";"";82.632;53.287;64,49;29.345;35,51;200;0,38;429;0,81;52.658;98,82;53.087;99,62
"A";2003;"CO";"Catalunya                ";;"";11;"Baix Llobregat                ";;"";"";"";569.875;338.465;59,39;231.410;40,61;797;0,24;3.452;1,02;334.216;98,74;337.668;99,76
"A";2003;"CO";"Catalunya                ";;"";12;"Baix Penedès                  ";;"";"";"";53.405;31.401;58,80;22.004;41,20;168;0,54;255;0,81;30.978;98,65;31.233;99,46
"A";2003;"CO";"Catalunya                ";;"";13;"Barcelonès                    ";;"";"";"";1.698.853;1.083.502;63,78;615.351;36,22;2.128;0,20;10.300;0,95;1.071.074;98,85;1.081.374;99,80
"A";2003;"CO";"Catalunya                ";;"";14;"Berguedà                      ";;"";"";"";32.495;23.014;70,82;9.481;29,18;86;0,37;172;0,75;22.756;98,88;22.928;99,63
"A";2003;"CO";"Catalunya                ";;"";15;"Cerdanya                      ";;"";"";"";12.211;7.735;63,34;4.476;36,66;44;0,57;72;0,93;7.619;98,50;7.691;99,43
"A";2003;"CO";"Catalunya                ";;"";16;"Conca de Barberà              ";;"";"";"";15.735;10.823;68,78;4.912;31,22;58;0,54;103;0,95;10.662;98,51;10.765;99,46
"A";2003;"CO";"Catalunya                ";;"";17;"Garraf                        ";;"";"";"";89.874;54.410;60,54;35.464;39,46;124;0,23;488;0,90;53.798;98,88;54.286;99,77
"A";2003;"CO";"Catalunya                ";;"";18;"Garrigues                     ";;"";"";"";16.057;11.750;73,18;4.307;26,82;50;0,43;94;0,80;11.606;98,77;11.700;99,57
"A";2003;"CO";"Catalunya                ";;"";19;"Garrotxa                      ";;"";"";"";39.633;28.643;72,27;10.990;27,73;92;0,32;233;0,81;28.318;98,87;28.551;99,68
"A";2003;"CO";"Catalunya                ";;"";20;"Gironès                       ";;"";"";"";111.987;75.549;67,46;36.438;32,54;244;0,32;614;0,81;74.691;98,86;75.305;99,68
"A";2003;"CO";"Catalunya                ";;"";21;"Maresme                       ";;"";"";"";291.051;187.143;64,30;103.908;35,70;417;0,22;1.576;0,84;185.150;98,94;186.726;99,78
"A";2003;"CO";"Catalunya                ";;"";22;"Montsià                       ";;"";"";"";46.046;30.008;65,17;16.038;34,83;144;0,48;357;1,19;29.507;98,33;29.864;99,52
"A";2003;"CO";"Catalunya                ";;"";23;"Noguera                       ";;"";"";"";29.058;20.877;71,85;8.181;28,15;88;0,42;176;0,84;20.613;98,74;20.789;99,58
"A";2003;"CO";"Catalunya                ";;"";24;"Osona                         ";;"";"";"";103.954;75.525;72,65;28.429;27,35;179;0,24;571;0,76;74.775;99,01;75.346;99,76
"A";2003;"CO";"Catalunya                ";;"";25;"Pallars Jussà                 ";;"";"";"";10.458;7.152;68,39;3.306;31,61;30;0,42;64;0,89;7.058;98,69;7.122;99,58
"A";2003;"CO";"Catalunya                ";;"";26;"Pallars Sobirà                ";;"";"";"";5.352;3.869;72,29;1.483;27,71;13;0,34;24;0,62;3.832;99,04;3.856;99,66
"A";2003;"CO";"Catalunya                ";;"";27;"Pla d'Urgell                  ";;"";"";"";24.453;17.929;73,32;6.524;26,68;112;0,62;185;1,03;17.632;98,34;17.817;99,38
"A";2003;"CO";"Catalunya                ";;"";28;"Pla de l'Estany               ";;"";"";"";20.204;14.486;71,70;5.718;28,30;81;0,56;127;0,88;14.278;98,56;14.405;99,44
"A";2003;"CO";"Catalunya                ";;"";29;"Priorat                       ";;"";"";"";7.982;6.067;76,01;1.915;23,99;26;0,43;53;0,87;5.988;98,70;6.041;99,57
"A";2003;"CO";"Catalunya                ";;"";30;"Ribera d'Ebre                 ";;"";"";"";18.117;13.351;73,69;4.766;26,31;49;0,37;103;0,77;13.199;98,86;13.302;99,63
"A";2003;"CO";"Catalunya                ";;"";31;"Ripollès                      ";;"";"";"";22.028;16.066;72,93;5.962;27,07;70;0,44;169;1,05;15.827;98,51;15.996;99,56
"A";2003;"CO";"Catalunya                ";;"";32;"Segarra                       ";;"";"";"";14.638;10.283;70,25;4.355;29,75;42;0,41;112;1,09;10.129;98,50;10.241;99,59
"A";2003;"CO";"Catalunya                ";;"";33;"Segrià                        ";;"";"";"";138.813;87.589;63,10;51.224;36,90;267;0,30;941;1,07;86.381;98,62;87.322;99,70
"A";2003;"CO";"Catalunya                ";;"";34;"Selva                         ";;"";"";"";97.566;60.704;62,22;36.862;37,78;229;0,38;486;0,80;59.989;98,82;60.475;99,62
"A";2003;"CO";"Catalunya                ";;"";35;"Solsonès                      ";;"";"";"";9.664;6.904;71,44;2.760;28,56;30;0,43;63;0,91;6.811;98,65;6.874;99,57
"A";2003;"CO";"Catalunya                ";;"";36;"Tarragonès                    ";;"";"";"";150.825;90.530;60,02;60.295;39,98;292;0,32;853;0,94;89.385;98,74;90.238;99,68
"A";2003;"CO";"Catalunya                ";;"";37;"Terra Alta                    ";;"";"";"";10.280;7.890;76,75;2.390;23,25;40;0,51;84;1,06;7.766;98,43;7.850;99,49
"A";2003;"CO";"Catalunya                ";;"";38;"Urgell                        ";;"";"";"";25.302;17.883;70,68;7.419;29,32;207;1,16;174;0,97;17.502;97,87;17.676;98,84
"A";2003;"CO";"Catalunya                ";;"";39;"Consell General d'Aran        ";;"";"";"";6.552;3.888;59,34;2.664;40,66;10;0,26;49;1,26;3.829;98,48;3.878;99,74
"A";2003;"CO";"Catalunya                ";;"";40;"Vallès Occidental             ";;"";"";"";606.591;366.419;60,41;240.172;39,59;691;0,19;3.220;0,88;362.508;98,93;365.728;99,81
"A";2003;"CO";"Catalunya                ";;"";41;"Vallès Oriental               ";;"";"";"";264.952;164.587;62,12;100.365;37,88;433;0,26;1.358;0,83;162.796;98,91;164.154;99,74
"A";2003;"CO";"Catalunya                ";;"";98;"Residents Absents             ";;"";"";"";100.417;18.639;18,56;81.778;81,44;57;0,31;52;0,28;18.530;99,42;18.582;99,69
"A";2003;"DM";"Catalunya                ";8;"Barcelona";13;"Barcelonès                    ";19;"Barcelona                               ";"1";"Ciutat Vella        ";61.992;33.771;54,48;28.221;45,52;102;0,30;241;0,71;33.428;98,98;33.669;99,70
"A";2003;"DM";"Catalunya                ";8;"Barcelona";13;"Barcelonès                    ";19;"Barcelona                               ";"2";"Eixample            ";203.052;143.034;70,44;60.018;29,56;259;0,18;1.404;0,98;141.371;98,84;142.775;99,82
"A";2003;"DM";"Catalunya                ";8;"Barcelona";13;"Barcelonès                    ";19;"Barcelona                               ";"3";"Sants-Montjuïc      ";134.493;86.398;64,24;48.095;35,76;180;0,21;787;0,91;85.431;98,88;86.218;99,79
"A";2003;"DM";"Catalunya                ";8;"Barcelona";13;"Barcelonès                    ";19;"Barcelona                               ";"4";"Les Corts           ";66.085;48.131;72,83;17.954;27,17;62;0,13;467;0,97;47.602;98,90;48.069;99,87
"A";2003;"DM";"Catalunya                ";8;"Barcelona";13;"Barcelonès                    ";19;"Barcelona                               ";"5";"Sarrià-Sant Gervasi ";106.382;79.707;74,93;26.675;25,07;88;0,11;936;1,17;78.683;98,72;79.619;99,89
"A";2003;"DM";"Catalunya                ";8;"Barcelona";13;"Barcelonès                    ";19;"Barcelona                               ";"6";"Gràcia              ";94.549;66.704;70,55;27.845;29,45;133;0,20;555;0,83;66.016;98,97;66.571;99,80
"A";2003;"DM";"Catalunya                ";8;"Barcelona";13;"Barcelonès                    ";19;"Barcelona                               ";"7";"Horta-Guinardó      ";137.396;89.046;64,81;48.350;35,19;158;0,18;894;1,00;87.994;98,82;88.888;99,82
"A";2003;"DM";"Catalunya                ";8;"Barcelona";13;"Barcelonès                    ";19;"Barcelona                               ";"8";"Nou Barris          ";133.396;80.928;60,67;52.468;39,33;180;0,22;758;0,94;79.990;98,84;80.748;99,78
"A";2003;"DM";"Catalunya                ";8;"Barcelona";13;"Barcelonès                    ";19;"Barcelona                               ";"9";"Sant Andreu         ";113.376;75.263;66,38;38.113;33,62;142;0,19;708;0,94;74.413;98,87;75.121;99,81
"A";2003;"DM";"Catalunya                ";8;"Barcelona";13;"Barcelonès                    ";19;"Barcelona                               ";"10";"Sant Martí          ";171.694;112.242;65,37;59.452;34,63;276;0,25;990;0,88;110.976;98,87;111.966;99,75
"A";2003;"MU";"Catalunya                ";8;"Barcelona";11;"Baix Llobregat                ";1;"Abrera                                  ";"";"";7.140;4.209;58,95;2.931;41,05;11;0,26;43;1,02;4.155;98,72;4.198;99,74
"A";2003;"MU";"Catalunya                ";8;"Barcelona";7;"Bages                         ";2;"Aguilar de Segarra                      ";"";"";179;127;70,95;52;29,05;0;0,00;1;0,79;126;99,21;127;100,00
