ELECCIO;ANY;NIVELL;AUTONOMIA;CODI PROVÍNCIA;PROVÍNCIA;CODI COMARCA;COMARCA;CODI MUNICIPI;MUNICIPI;CODI DISTRICTE;DISTRICTE;SIGLES;PARTIT;VOTS PARTITS;% VOTS / VÀLIDS;ESCONS;
A;2006;CA;Catalunya                ;;;;;;;;;CiU        ;Convergència i Unió                               ;935.756;31,52;48;
A;2006;CA;Catalunya                ;;;;;;;;;PSC-CpC    ;PSC-Ciutadans pel Canvi                           ;796.173;26,82;37;
A;2006;CA;Catalunya                ;;;;;;;;;ERC        ;Esquerra Republicana de Catalunya                 ;416.355;14,03;21;
A;2006;CA;Catalunya                ;;;;;;;;;PP         ;Partit Popular                                    ;316.222;10,65;14;
A;2006;CA;Catalunya                ;;;;;;;;;ICV-EUiA   ;Iniciativa per Catalunya Verds - EUIA             ;282.693;9,52;12;
A;2006;CA;Catalunya                ;;;;;;;;;C's        ;Ciutadans-Partido de la Ciudadanía                ;89.840;3,03;3;
A;2006;CA;Catalunya                ;;;;;;;;;EV-EVC     ;Els Verds - Ecologistes i Verds de Catalunya      ;17.900;0,60;0;
A;2006;CA;Catalunya                ;;;;;;;;;PACMA      ;Partido Antitaurino contra el maltrato animal     ;13.730;0,46;0;
A;2006;CA;Catalunya                ;;;;;;;;;Ei-ADD     ;Escons Insubmisos-Alt. dels Demòcrates Descontents;6.922;0,23;0;
A;2006;CA;Catalunya                ;;;;;;;;;RC         ;Partit Republicà Català                           ;6.024;0,20;0;
A;2006;CA;Catalunya                ;;;;;;;;;POSI       ;Partit Obrer Socialista Internacionalista         ;5.632;0,19;0;
A;2006;CA;Catalunya                ;;;;;;;;;PCPC       ;Partit Comunista del Poble de Catalunya           ;4.158;0,14;0;
A;2006;CA;Catalunya                ;;;;;;;;;EV-AV      ;Els Verds-Alternativa Verda                       ;3.228;0,11;0;
A;2006;CA;Catalunya                ;;;;;;;;;PFiV       ;Partit Família i Vida                             ;2.776;0,09;0;
A;2006;CA;Catalunya                ;;;;;;;;;AES-DN     ;Plataforma Adelante Cataluña (Alt.Española-DN)    ;2.735;0,09;0;
A;2006;CA;Catalunya                ;;;;;;;;;PH         ;Partit Humanista de Catalunya                     ;2.608;0,09;0;
A;2006;CA;Catalunya                ;;;;;;;;;MSR        ;Movimiento Social Republicano                     ;1.096;0,04;0;
A;2006;CA;Catalunya                ;;;;;;;;;PAZUL      ;Carmel/Partido Azul                               ;1.039;0,04;0;
A;2006;CA;Catalunya                ;;;;;;;;;PUM+J      ;Por un Mundo Más Justo                            ;945;0,03;0;
A;2006;CA;Catalunya                ;;;;;;;;;DECIDEIXCAT;Catalunya Decideix                                ;668;0,02;0;
A;2006;CA;Catalunya                ;;;;;;;;;PCPC-NSOM  ;P. Comunista del Poble de Catalunya-Nosaltres Som ;640;0,02;0;
A;2006;CA;Catalunya                ;;;;;;;;;CenB       ;Ciudadanos en Blanco                              ;626;0,02;0;
A;2006;CA;Catalunya                ;;;;;;;;;IR-PRE     ;Izquierda Republicana-Partit Republicà d'Esquerra ;524;0,02;0;
