ELECCIO;ANY;NIVELL;AUTONOMIA;CODI PROVÍNCIA;PROVÍNCIA;CODI COMARCA;COMARCA;CODI MUNICIPI;MUNICIPI;CODI DISTRICTE;DISTRICTE;CENS ELECTORAL;VOTANTS;% VOTANTS;ABSTENCIÓ;% ABSTENCIÓ;VOTS NULS;% VOTS NULS;VOTS EN BLANC;% VOTS EN BLANC;VOTS A CANDIDATURES;% VOTS A CANDIDATURES;VOTS VÀLIDS;% VOTS VÀLIDS
A;2010;CA;Catalunya;;;;;;;;;5.363.688;3.152.630;58,78;2.211.058;41,22;22.354;0,71;91.631;2,91;3.038.645;96,38;3.130.276;99,29
A;2010;CO;Catalunya;;;1;Alt Camp;;;;;32.027;18.609;58,10;13.418;41,90;173;0,93;483;2,60;17.953;96,47;18.436;99,07
A;2010;CO;Catalunya;;;2;Alt Empordà;;;;;83.036;48.560;58,48;34.476;41,52;417;0,86;1.327;2,73;46.816;96,41;48.143;99,14
A;2010;CO;Catalunya;;;3;Alt Penedès;;;;;74.650;47.219;63,25;27.431;36,75;414;0,88;1.353;2,87;45.452;96,26;46.805;99,12
A;2010;CO;Catalunya;;;4;Alt Urgell;;;;;15.713;9.468;60,26;6.245;39,74;79;0,83;314;3,32;9.075;95,85;9.389;99,17
A;2010;CO;Catalunya;;;5;Alta Ribagorça;;;;;3.046;1.765;57,94;1.281;42,06;15;0,85;58;3,29;1.692;95,86;1.750;99,15
A;2010;CO;Catalunya;;;6;Anoia;;;;;86.011;51.007;59,30;35.004;40,70;299;0,59;1.444;2,83;49.264;96,58;50.708;99,41
A;2010;CO;Catalunya;;;7;Bages;;;;;135.887;83.350;61,34;52.537;38,66;627;0,75;2.285;2,74;80.438;96,51;82.723;99,25
A;2010;CO;Catalunya;;;8;Baix Camp;;;;;124.850;72.050;57,71;52.800;42,29;507;0,70;1.633;2,27;69.910;97,03;71.543;99,30
A;2010;CO;Catalunya;;;9;Baix Ebre;;;;;54.904;32.887;59,90;22.017;40,10;430;1,31;1.050;3,19;31.407;95,50;32.457;98,69
A;2010;CO;Catalunya;;;10;Baix Empordà;;;;;86.115;50.788;58,98;35.327;41,02;430;0,85;1.454;2,86;48.904;96,29;50.358;99,15
