ELECCIO;ANY;NIVELL;AUTONOMIA;CODI PROVÍNCIA;PROVÍNCIA;CODI COMARCA;COMARCA;CODI MUNICIPI;MUNICIPI;CODI DISTRICTE;NOM;SIGLES;PARTIT;VOTS PARTITS;% VOTS / VÀLIDS;ESCONS
A;2010;CA;Catalunya;;;;;;;;;CiU        ;Convergència i Unió                               ;1.202.830;38,43;62
A;2010;CA;Catalunya;;;;;;;;;PSC-PSOE   ;Partit dels Socialistes de Catalunya-PSOE         ;575.233;18,38;28
A;2010;CA;Catalunya;;;;;;;;;PP         ;Partit Popular                                    ;387.066;12,37;18
A;2010;CA;Catalunya;;;;;;;;;ICV-EUiA   ;Iniciativa per Catalunya Verds - EUIA             ;230.824;7,37;10
A;2010;CA;Catalunya;;;;;;;;;ERC        ;Esquerra Republicana de Catalunya                 ;219.173;7,00;10
A;2010;CA;Catalunya;;;;;;;;;C's        ;Ciutadans-Partido de la Ciudadanía                ;106.154;3,39;3
A;2010;CA;Catalunya;;;;;;;;;SI;Solidaritat Catalana per la Independència;102.921;3,29;4
A;2010;CA;Catalunya;;;;;;;;;PxC        ;Plataforma per Catalunya                          ;75.134;2,40;0
A;2010;CA;Catalunya;;;;;;;;;RI.cat;Reagrupament Independentista;39.834;1,27;0
A;2010;CA;Catalunya;;;;;;;;;Eb-CenB;Escons en blanc-Ciudadanos en Blanco;18.679;0,60;0
A;2010;CA;Catalunya;;;;;;;;;EV-GVE      ;Els Verds - Grup Verd Europeu                     ;15.784;0,50;0
A;2010;CA;Catalunya;;;;;;;;;PACMA;Partit Antitaurí Contra el Maltractament Animal;14.238;0,45;0
A;2010;CA;Catalunya;;;;;;;;;DES DE BAIX;Des de Baix;7.189;0,23;0
A;2010;CA;Catalunya;;;;;;;;;CORI;Coordinadora Reusenca Independent;6.990;0,22;0
A;2010;CA;Catalunya;;;;;;;;;PIRATA.CAT;Pirates de Catalunya;6.451;0,21;0
A;2010;CA;Catalunya;;;;;;;;;UPyD;Unión, Progreso y Democracia;5.418;0,17;0
A;2010;CA;Catalunya;;;;;;;;;PDLPEA     ;Partido de los Pensionistas en Acción             ;3.330;0,11;0
A;2010;CA;Catalunya;;;;;;;;;PCPC       ;Partit Comunista del Poble de Catalunya           ;3.028;0,10;0
A;2010;CA;Catalunya;;;;;;;;;ALTERNATIVA;Alternativa de Govern;2.208;0,07;0
A;2010;CA;Catalunya;;;;;;;;;PFiV       ;Partit Família i Vida                             ;2.201;0,07;0
A;2010;CA;Catalunya;;;;;;;;;PUM+J      ;Por un Mundo Más Justo                            ;2.100;0,07;0
A;2010;CA;Catalunya;;;;;;;;;POSI       ;Partit Obrer Socialista Internacionalista         ;1.920;0,06;0
A;2010;CA;Catalunya;;;;;;;;;FE-JONS    ;Falange Española de las J.O.N.S.                  ;1.760;0,06;0
A;2010;CA;Catalunya;;;;;;;;;PRE-IR;Partit Republicà d'Esquerra-Izquierda Republicana;1.547;0,05;0
A;2010;CA;Catalunya;;;;;;;;;PCAS;Partido Castellano;1.066;0,03;0
A;2010;CA;Catalunya;;;;;;;;;PH         ;Partit Humanista                                  ;908;0,03;0
A;2010;CA;Catalunya;;;;;;;;;U.C.E.     ;Unificació Comunista d'Espanya                    ;904;0,03;0
A;2010;CA;Catalunya;;;;;;;;;PDR.CAT;Pagesos per la Dignitat Rural Catalana;824;0,03;0
A;2010;CA;Catalunya;;;;;;;;;MSR        ;Movimiento Social Republicano                     ;788;0,03;0
A;2010;CA;Catalunya;;;;;;;;;GN;Gent Nostra;597;0,02;0
A;2010;CA;Catalunya;;;;;;;;;GLBTH/TSI;P.Gay, Lésbico, Bisexual, Transexual i Heterosexual;498;0,02;0
A;2010;CA;Catalunya;;;;;;;;;PxCat      ;Partit per Catalunya                              ;314;0,01;0
A;2010;CA;Catalunya;;;;;;;;;CDS;Centro Democràtico y Social;218;0,01;0
A;2010;CA;Catalunya;;;;;;;;;BLOC.S.C;Bloc Sobiranista Català;187;0,01;0
A;2010;CA;Catalunya;;;;;;;;;PAR;Partido Aragonés;98;0,00;0
A;2010;CA;Catalunya;;;;;;;;;SAIn       ;Solidaridad y Autogestión Internacionalista       ;82;0,00;0
A;2010;CA;Catalunya;;;;;;;;;ALS;Alternativa Liberal Social;54;0,00;0
A;2010;CA;Catalunya;;;;;;;;;P.J.P;Partit de Justícia i Progrés;49;0,00;0
A;2010;CA;Catalunya;;;;;;;;;DW;DemocraticaWeb;46;0,00;0
A;2010;CO;Catalunya;;;1;Alt Camp;;;;;CiU        ;Convergència i Unió                               ;8.183;44,39;0
A;2010;CO;Catalunya;;;1;Alt Camp;;;;;PSC-PSOE   ;Partit dels Socialistes de Catalunya-PSOE         ;2.856;15,49;0
A;2010;CO;Catalunya;;;1;Alt Camp;;;;;ERC        ;Esquerra Republicana de Catalunya                 ;1.679;9,11;0
A;2010;CO;Catalunya;;;1;Alt Camp;;;;;PP         ;Partit Popular                                    ;1.556;8,44;0
A;2010;CO;Catalunya;;;1;Alt Camp;;;;;SI;Solidaritat Catalana per la Independència;1.150;6,24;0
A;2010;CO;Catalunya;;;1;Alt Camp;;;;;ICV-EUiA   ;Iniciativa per Catalunya Verds - EUIA             ;931;5,05;0
A;2010;CO;Catalunya;;;1;Alt Camp;;;;;RI.cat;Reagrupament Independentista;413;2,24;0
A;2010;CO;Catalunya;;;1;Alt Camp;;;;;PxC        ;Plataforma per Catalunya                          ;359;1,95;0
A;2010;CO;Catalunya;;;1;Alt Camp;;;;;C's        ;Ciutadans-Partido de la Ciudadanía                ;285;1,55;0
A;2010;CO;Catalunya;;;1;Alt Camp;;;;;CORI;Coordinadora Reusenca Independent;100;0,54;0
A;2010;CO;Catalunya;;;1;Alt Camp;;;;;EV-GVE      ;Els Verds - Grup Verd Europeu                     ;91;0,49;0
A;2010;CO;Catalunya;;;1;Alt Camp;;;;;PACMA;Partit Antitaurí Contra el Maltractament Animal;69;0,37;0
A;2010;CO;Catalunya;;;1;Alt Camp;;;;;Eb-CenB;Escons en blanc-Ciudadanos en Blanco;65;0,35;0
A;2010;CO;Catalunya;;;1;Alt Camp;;;;;PIRATA.CAT;Pirates de Catalunya;46;0,25;0
A;2010;CO;Catalunya;;;1;Alt Camp;;;;;PRE-IR;Partit Republicà d'Esquerra-Izquierda Republicana;20;0,11;0
A;2010;CO;Catalunya;;;1;Alt Camp;;;;;PDLPEA     ;Partido de los Pensionistas en Acción             ;17;0,09;0
A;2010;CO;Catalunya;;;1;Alt Camp;;;;;DES DE BAIX;Des de Baix;16;0,09;0
A;2010;CO;Catalunya;;;1;Alt Camp;;;;;POSI       ;Partit Obrer Socialista Internacionalista         ;14;0,08;0
A;2010;CO;Catalunya;;;1;Alt Camp;;;;;GLBTH/TSI;P.Gay, Lésbico, Bisexual, Transexual i Heterosexual;13;0,07;0
A;2010;CO;Catalunya;;;1;Alt Camp;;;;;PFiV       ;Partit Família i Vida                             ;12;0,07;0
